t	CH1	CH2
0.000000e+00	-6.314630e-04	-3.971588e+00
1.000000e-08	-1.043122e-03	-3.989061e+00
2.000000e-08	-1.930604e-03	-4.034154e+00
3.000000e-08	-1.683898e-03	-4.069658e+00
4.000000e-08	-1.435077e-03	-4.119178e+00
5.000000e-08	-6.456412e-04	-4.165651e+00
6.000000e-08	-1.868737e-03	-4.199165e+00
7.000000e-08	-2.016959e-03	-4.236270e+00
8.000000e-08	-1.421927e-03	-4.258345e+00
9.000000e-08	-8.003041e-04	-4.307208e+00
1.000000e-07	-1.820318e-03	-4.333281e+00
1.100000e-07	-1.932626e-03	-4.371775e+00
1.200000e-07	-1.811833e-03	-4.396910e+00
1.300000e-07	-1.555423e-03	-4.444205e+00
1.400000e-07	-1.618915e-03	-4.477431e+00
1.500000e-07	-1.229960e-03	-4.519358e+00
1.600000e-07	-1.870618e-03	-4.544851e+00
1.700000e-07	-2.120484e-03	-4.601955e+00
1.800000e-07	-1.769263e-03	-4.631399e+00
1.900000e-07	-1.372618e-03	-4.658494e+00
2.000000e-07	-1.607940e-03	-4.667978e+00
2.100000e-07	-2.096163e-03	-4.734293e+00
2.200000e-07	-2.008281e-03	-4.772208e+00
2.300000e-07	-1.698968e-03	-4.797703e+00
2.400000e-07	-1.662006e-03	-4.839197e+00
2.500000e-07	-2.194549e-03	-4.872640e+00
2.600000e-07	-2.141826e-03	-4.905471e+00
2.700000e-07	-1.969643e-03	-4.931777e+00
2.800000e-07	-1.721643e-03	-4.956611e+00
2.900000e-07	-1.955733e-03	-4.990492e+00
3.000000e-07	-2.130129e-03	-5.008985e+00
3.100000e-07	-2.328221e-03	-5.013301e+00
3.200000e-07	-2.026586e-03	-5.078955e+00
3.300000e-07	-2.083217e-03	-5.104238e+00
3.400000e-07	-1.883267e-03	-5.133712e+00
3.500000e-07	-2.274603e-03	-5.159155e+00
3.600000e-07	-2.237793e-03	-5.176639e+00
3.700000e-07	-2.293109e-03	-5.217491e+00
3.800000e-07	-2.185745e-03	-5.234975e+00
3.900000e-07	-2.407493e-03	-5.272399e+00
4.000000e-07	-2.473479e-03	-5.285441e+00
4.100000e-07	-2.425322e-03	-5.290323e+00
4.200000e-07	-2.039393e-03	-5.319576e+00
4.300000e-07	-2.273609e-03	-5.353290e+00
4.400000e-07	-2.629256e-03	-5.370545e+00
4.500000e-07	-2.603172e-03	-5.407007e+00
4.600000e-07	-2.483957e-03	-5.432991e+00
4.700000e-07	-2.458565e-03	-5.442114e+00
4.800000e-07	-2.366243e-03	-5.474736e+00
4.900000e-07	-2.656530e-03	-5.495808e+00
5.000000e-07	-2.804132e-03	-5.505042e+00
5.100000e-07	-2.618778e-03	-5.534112e+00
5.200000e-07	-2.799602e-03	-5.559214e+00
5.300000e-07	-2.835442e-03	-5.564588e+00
5.400000e-07	-2.923026e-03	-5.609462e+00
5.500000e-07	-2.796491e-03	-5.626141e+00
5.600000e-07	-2.821634e-03	-5.639778e+00
5.700000e-07	-2.692940e-03	-5.669050e+00
5.800000e-07	-3.088020e-03	-5.690853e+00
5.900000e-07	-3.289415e-03	-5.686576e+00
6.000000e-07	-3.179923e-03	-5.728587e+00
6.100000e-07	-3.087140e-03	-5.748831e+00
6.200000e-07	-2.973125e-03	-5.777862e+00
6.300000e-07	-3.089661e-03	-5.790135e+00
6.400000e-07	-3.362641e-03	-5.811147e+00
6.500000e-07	-3.520385e-03	-5.814979e+00
6.600000e-07	-3.424926e-03	-5.820231e+00
6.700000e-07	-3.758915e-03	-5.852891e+00
6.800000e-07	-3.446633e-03	-5.858502e+00
6.900000e-07	-3.290140e-03	-5.853924e+00
7.000000e-07	-3.763522e-03	-5.874535e+00
7.100000e-07	-3.629479e-03	-5.895517e+00
7.200000e-07	-3.475350e-03	-5.896159e+00
7.300000e-07	-3.909164e-03	-5.908419e+00
7.400000e-07	-4.208927e-03	-5.912861e+00
7.500000e-07	-3.978636e-03	-5.934061e+00
7.600000e-07	-4.000352e-03	-5.930093e+00
7.700000e-07	-4.144545e-03	-5.951137e+00
7.800000e-07	-4.139978e-03	-5.962799e+00
7.900000e-07	-4.156694e-03	-5.967606e+00
8.000000e-07	-4.139177e-03	-5.980418e+00
8.100000e-07	-4.567561e-03	-5.992081e+00
8.200000e-07	-4.680904e-03	-6.001312e+00
8.300000e-07	-4.478055e-03	-5.994272e+00
8.400000e-07	-4.509982e-03	-6.014684e+00
8.500000e-07	-4.915882e-03	-6.017543e+00
8.600000e-07	-4.881690e-03	-6.022926e+00
8.700000e-07	-4.983477e-03	-6.026756e+00
8.800000e-07	-4.992681e-03	-6.039977e+00
8.900000e-07	-5.071464e-03	-6.052178e+00
9.000000e-07	-5.190611e-03	-6.052391e+00
9.100000e-07	-5.412174e-03	-6.060847e+00
9.200000e-07	-5.287578e-03	-6.069019e+00
9.300000e-07	-5.690996e-03	-6.065050e+00
9.400000e-07	-5.905353e-03	-6.077452e+00
9.500000e-07	-5.920419e-03	-6.076852e+00
9.600000e-07	-5.896778e-03	-6.073807e+00
9.700000e-07	-6.089860e-03	-6.069031e+00
9.800000e-07	-5.926285e-03	-6.077030e+00
9.900000e-07	-6.001320e-03	-6.060870e+00
1.000000e-06	-6.409446e-03	-6.069260e+00
1.010000e-06	-6.519139e-03	-6.077031e+00
1.020000e-06	-6.490403e-03	-6.089441e+00
1.030000e-06	-6.822938e-03	-6.081251e+00
1.040000e-06	-7.009248e-03	-6.077428e+00
1.050000e-06	-6.679656e-03	-6.076629e+00
1.060000e-06	-6.790767e-03	-6.069270e+00
1.070000e-06	-7.166838e-03	-6.057048e+00
1.080000e-06	-7.148466e-03	-6.064601e+00
1.090000e-06	-7.192597e-03	-6.060217e+00
1.100000e-06	-7.618715e-03	-6.068607e+00
1.110000e-06	-7.390275e-03	-6.051967e+00
1.120000e-06	-7.203938e-03	-6.047786e+00
1.130000e-06	-7.419349e-03	-6.022554e+00
1.140000e-06	-7.318301e-03	-6.018694e+00
1.150000e-06	-7.354506e-03	-6.010894e+00
1.160000e-06	-7.610078e-03	-6.022094e+00
1.170000e-06	-7.531424e-03	-5.973253e+00
1.180000e-06	-7.556565e-03	-5.989460e+00
1.190000e-06	-7.620381e-03	-5.976050e+00
1.200000e-06	-7.478859e-03	-5.984208e+00
1.210000e-06	-7.325824e-03	-5.960208e+00
1.220000e-06	-7.315926e-03	-5.955356e+00
1.230000e-06	-7.365301e-03	-5.946305e+00
1.240000e-06	-7.215193e-03	-5.934495e+00
1.250000e-06	-7.078564e-03	-5.929860e+00
1.260000e-06	-7.065471e-03	-5.913029e+00
1.270000e-06	-6.801176e-03	-5.880838e+00
1.280000e-06	-6.790814e-03	-5.879207e+00
1.290000e-06	-6.815794e-03	-5.874535e+00
1.300000e-06	-6.511990e-03	-5.862135e+00
1.310000e-06	-6.436104e-03	-5.865693e+00
1.320000e-06	-6.485461e-03	-5.849063e+00
1.330000e-06	-6.361453e-03	-5.828821e+00
1.340000e-06	-6.024134e-03	-5.808028e+00
1.350000e-06	-5.978652e-03	-5.790526e+00
1.360000e-06	-5.980193e-03	-5.798316e+00
1.370000e-06	-5.732766e-03	-5.774083e+00
1.380000e-06	-5.565190e-03	-5.761232e+00
1.390000e-06	-5.494542e-03	-5.752009e+00
1.400000e-06	-5.326021e-03	-5.706776e+00
1.410000e-06	-5.221542e-03	-5.690303e+00
1.420000e-06	-5.184164e-03	-5.669272e+00
1.430000e-06	-5.077228e-03	-5.652220e+00
1.440000e-06	-4.963039e-03	-5.639117e+00
1.450000e-06	-4.772942e-03	-5.614083e+00
1.460000e-06	-4.639093e-03	-5.592802e+00
1.470000e-06	-4.543652e-03	-5.560597e+00
1.480000e-06	-4.522103e-03	-5.562935e+00
1.490000e-06	-4.365993e-03	-5.530061e+00
1.500000e-06	-4.350979e-03	-5.504431e+00
1.510000e-06	-4.290295e-03	-5.467786e+00
1.520000e-06	-4.083599e-03	-5.466105e+00
1.530000e-06	-3.982738e-03	-5.452863e+00
1.540000e-06	-3.904353e-03	-5.428008e+00
1.550000e-06	-3.672954e-03	-5.418936e+00
1.560000e-06	-3.695160e-03	-5.374123e+00
1.570000e-06	-3.654703e-03	-5.337029e+00
1.580000e-06	-3.528519e-03	-5.323347e+00
1.590000e-06	-3.739987e-03	-5.297903e+00
1.600000e-06	-3.412579e-03	-5.276851e+00
1.610000e-06	-3.293678e-03	-5.251167e+00
1.620000e-06	-3.469866e-03	-5.223104e+00
