t	CH1	CH2
0.000000e+00	-1.234958e-04	-4.010524e+00
1.000000e-08	-2.772585e-04	-4.011577e+00
2.000000e-08	-1.111020e-03	-4.042133e+00
3.000000e-08	-1.238540e-03	-4.064211e+00
4.000000e-08	-3.693103e-04	-4.117291e+00
5.000000e-08	-1.245097e-04	-4.166974e+00
6.000000e-08	-8.264071e-04	-4.159999e+00
7.000000e-08	-1.097437e-03	-4.221558e+00
8.000000e-08	-9.974796e-04	-4.243208e+00
9.000000e-08	-4.642170e-04	-4.283292e+00
1.000000e-07	-6.757908e-04	-4.366866e+00
1.100000e-07	-1.173289e-03	-4.348494e+00
1.200000e-07	-1.177035e-03	-4.380424e+00
1.300000e-07	-9.164212e-04	-4.391475e+00
1.400000e-07	-6.298850e-04	-4.411581e+00
1.500000e-07	-6.035695e-04	-4.442581e+00
1.600000e-07	-1.166606e-03	-4.484266e+00
1.700000e-07	-1.182750e-03	-4.517370e+00
1.800000e-07	-1.160355e-03	-4.529549e+00
1.900000e-07	-6.255687e-04	-4.621005e+00
2.000000e-07	-5.954965e-04	-4.601605e+00
2.100000e-07	-1.141418e-03	-4.684662e+00
2.200000e-07	-1.093131e-03	-4.664262e+00
2.300000e-07	-9.579238e-04	-4.757266e+00
2.400000e-07	-5.896811e-04	-4.728867e+00
2.500000e-07	-8.507316e-04	-4.768527e+00
2.600000e-07	-1.295257e-03	-4.830153e+00
2.700000e-07	-1.176762e-03	-4.895234e+00
2.800000e-07	-8.339215e-04	-4.895339e+00
2.900000e-07	-7.916093e-04	-4.924371e+00
3.000000e-07	-1.138543e-03	-4.990374e+00
3.100000e-07	-1.329668e-03	-4.998580e+00
3.200000e-07	-1.130946e-03	-5.061037e+00
3.300000e-07	-1.114258e-03	-5.042711e+00
3.400000e-07	-9.585314e-04	-5.074787e+00
3.500000e-07	-9.403276e-04	-5.114841e+00
3.600000e-07	-1.305052e-03	-5.139374e+00
3.700000e-07	-1.501888e-03	-5.220023e+00
3.800000e-07	-1.055488e-03	-5.189450e+00
3.900000e-07	-1.172262e-03	-5.202054e+00
4.000000e-07	-1.391594e-03	-5.252588e+00
4.100000e-07	-1.267503e-03	-5.242287e+00
4.200000e-07	-1.378583e-03	-5.295319e+00
4.300000e-07	-1.088354e-03	-5.328453e+00
4.400000e-07	-1.153558e-03	-5.420003e+00
4.500000e-07	-1.475984e-03	-5.462082e+00
4.600000e-07	-1.719999e-03	-5.434113e+00
4.700000e-07	-1.341768e-03	-5.465315e+00
4.800000e-07	-1.144882e-03	-5.505894e+00
4.900000e-07	-1.268498e-03	-5.547422e+00
5.000000e-07	-1.273505e-03	-5.569826e+00
5.100000e-07	-1.553400e-03	-5.598976e+00
5.200000e-07	-1.476399e-03	-5.619475e+00
5.300000e-07	-1.426486e-03	-5.630079e+00
5.400000e-07	-1.564310e-03	-5.632608e+00
5.500000e-07	-1.610404e-03	-5.672657e+00
5.600000e-07	-1.515494e-03	-5.653209e+00
5.700000e-07	-1.714979e-03	-5.673691e+00
5.800000e-07	-1.320101e-03	-5.684792e+00
5.900000e-07	-1.652906e-03	-5.766766e+00
6.000000e-07	-1.772642e-03	-5.667417e+00
6.100000e-07	-1.692530e-03	-5.717848e+00
6.200000e-07	-1.722408e-03	-5.778449e+00
