# Temperatura_=_-26.7
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_136109.6919249678

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.095223e-06	-1.185624e-09	-3.842355e+01	-2.987445e+02
1.000000e-08	-7.095532e-06	-1.185384e-09	-3.842522e+01	-2.986932e+02
2.000000e-08	-7.095365e-06	-1.183946e-09	-3.842432e+01	-2.986260e+02
3.000000e-08	-7.094578e-06	-1.183361e-09	-3.842005e+01	-2.985434e+02
4.000000e-08	-7.093188e-06	-1.183737e-09	-3.841253e+01	-2.984463e+02
5.000000e-08	-7.091039e-06	-1.182571e-09	-3.840089e+01	-2.983354e+02
6.000000e-08	-7.088225e-06	-1.180419e-09	-3.838565e+01	-2.982116e+02
7.000000e-08	-7.084952e-06	-1.182571e-09	-3.836793e+01	-2.980756e+02
8.000000e-08	-7.081248e-06	-1.182574e-09	-3.834787e+01	-2.979285e+02
9.000000e-08	-7.077033e-06	-1.164695e-09	-3.832504e+01	-2.977711e+02
1.000000e-07	-7.072041e-06	-1.145583e-09	-3.829801e+01	-2.976043e+02
1.100000e-07	-7.066453e-06	-1.171901e-09	-3.826775e+01	-2.974291e+02
1.200000e-07	-7.060688e-06	-1.202259e-09	-3.823652e+01	-2.972464e+02
1.300000e-07	-7.054696e-06	-1.180029e-09	-3.820408e+01	-2.970570e+02
1.400000e-07	-7.048113e-06	-1.142456e-09	-3.816843e+01	-2.968618e+02
1.500000e-07	-7.040827e-06	-1.163024e-09	-3.812897e+01	-2.966615e+02
1.600000e-07	-7.033127e-06	-1.201624e-09	-3.808727e+01	-2.964569e+02
1.700000e-07	-7.025056e-06	-1.163478e-09	-3.804357e+01	-2.962485e+02
1.800000e-07	-7.016381e-06	-1.119726e-09	-3.799659e+01	-2.960369e+02
1.900000e-07	-7.006944e-06	-1.157711e-09	-3.794548e+01	-2.958225e+02
2.000000e-07	-6.997161e-06	-1.204608e-09	-3.789250e+01	-2.956055e+02
2.100000e-07	-6.986950e-06	-1.168826e-09	-3.783721e+01	-2.953863e+02
2.200000e-07	-6.975980e-06	-1.126741e-09	-3.777780e+01	-2.951648e+02
2.300000e-07	-6.964413e-06	-1.148534e-09	-3.771516e+01	-2.949411e+02
2.400000e-07	-6.952201e-06	-1.168552e-09	-3.764903e+01	-2.947149e+02
2.500000e-07	-6.939409e-06	-1.145240e-09	-3.757975e+01	-2.944861e+02
2.600000e-07	-6.926181e-06	-1.139184e-09	-3.750811e+01	-2.942542e+02
2.700000e-07	-6.912425e-06	-1.157126e-09	-3.743362e+01	-2.940187e+02
2.800000e-07	-6.897929e-06	-1.149369e-09	-3.735512e+01	-2.937792e+02
2.900000e-07	-6.882516e-06	-1.139099e-09	-3.727165e+01	-2.935349e+02
3.000000e-07	-6.866500e-06	-1.149025e-09	-3.718492e+01	-2.932852e+02
3.100000e-07	-6.850108e-06	-1.140340e-09	-3.709615e+01	-2.930293e+02
3.200000e-07	-6.833105e-06	-1.118999e-09	-3.700407e+01	-2.927664e+02
3.300000e-07	-6.815689e-06	-1.138730e-09	-3.690976e+01	-2.924957e+02
3.400000e-07	-6.797993e-06	-1.161652e-09	-3.681393e+01	-2.922164e+02
3.500000e-07	-6.779887e-06	-1.135456e-09	-3.671587e+01	-2.919278e+02
3.600000e-07	-6.761172e-06	-1.113514e-09	-3.661452e+01	-2.916289e+02
3.700000e-07	-6.741931e-06	-1.131884e-09	-3.651032e+01	-2.913192e+02
3.800000e-07	-6.722287e-06	-1.138058e-09	-3.640395e+01	-2.909980e+02
3.900000e-07	-6.702402e-06	-1.122197e-09	-3.629626e+01	-2.906646e+02
4.000000e-07	-6.682150e-06	-1.122765e-09	-3.618659e+01	-2.903186e+02
4.100000e-07	-6.661396e-06	-1.128893e-09	-3.607420e+01	-2.899596e+02
4.200000e-07	-6.640139e-06	-1.122001e-09	-3.595908e+01	-2.895872e+02
4.300000e-07	-6.618303e-06	-1.121277e-09	-3.584083e+01	-2.892013e+02
4.400000e-07	-6.596039e-06	-1.119399e-09	-3.572026e+01	-2.888016e+02
4.500000e-07	-6.573260e-06	-1.106811e-09	-3.559690e+01	-2.883884e+02
4.600000e-07	-6.549937e-06	-1.104888e-09	-3.547060e+01	-2.879615e+02
4.700000e-07	-6.526349e-06	-1.112949e-09	-3.534286e+01	-2.875213e+02
4.800000e-07	-6.502539e-06	-1.108294e-09	-3.521392e+01	-2.870679e+02
4.900000e-07	-6.478298e-06	-1.099979e-09	-3.508265e+01	-2.866019e+02
5.000000e-07	-6.453509e-06	-1.096687e-09	-3.494840e+01	-2.861235e+02
5.100000e-07	-6.427946e-06	-1.092809e-09	-3.480997e+01	-2.856333e+02
5.200000e-07	-6.401652e-06	-1.093325e-09	-3.466758e+01	-2.851319e+02
5.300000e-07	-6.374812e-06	-1.095112e-09	-3.452223e+01	-2.846196e+02
5.400000e-07	-6.347433e-06	-1.089250e-09	-3.437396e+01	-2.840972e+02
5.500000e-07	-6.319647e-06	-1.086857e-09	-3.422348e+01	-2.835651e+02
5.600000e-07	-6.291613e-06	-1.088545e-09	-3.407167e+01	-2.830238e+02
5.700000e-07	-6.263151e-06	-1.081499e-09	-3.391754e+01	-2.824739e+02
5.800000e-07	-6.234119e-06	-1.075776e-09	-3.376032e+01	-2.819156e+02
5.900000e-07	-6.204744e-06	-1.078208e-09	-3.360124e+01	-2.813494e+02
6.000000e-07	-6.175073e-06	-1.075591e-09	-3.344056e+01	-2.807755e+02
6.100000e-07	-6.145004e-06	-1.071865e-09	-3.327772e+01	-2.801941e+02
6.200000e-07	-6.114459e-06	-1.075387e-09	-3.311231e+01	-2.796052e+02
6.300000e-07	-6.083347e-06	-1.071640e-09	-3.294382e+01	-2.790088e+02
6.400000e-07	-6.051904e-06	-1.061828e-09	-3.277355e+01	-2.784047e+02
6.500000e-07	-6.020262e-06	-1.061398e-09	-3.260219e+01	-2.777925e+02
6.600000e-07	-5.988334e-06	-1.063383e-09	-3.242929e+01	-2.771720e+02
6.700000e-07	-5.956132e-06	-1.058557e-09	-3.225490e+01	-2.765426e+02
6.800000e-07	-5.923443e-06	-1.057187e-09	-3.207788e+01	-2.759036e+02
6.900000e-07	-5.890005e-06	-1.055857e-09	-3.189680e+01	-2.752544e+02
7.000000e-07	-5.855770e-06	-1.048186e-09	-3.171140e+01	-2.745942e+02
7.100000e-07	-5.820800e-06	-1.043405e-09	-3.152203e+01	-2.739220e+02
7.200000e-07	-5.785392e-06	-1.043499e-09	-3.133028e+01	-2.732370e+02
7.300000e-07	-5.749796e-06	-1.039495e-09	-3.113751e+01	-2.725382e+02
7.400000e-07	-5.714005e-06	-1.035418e-09	-3.094368e+01	-2.718246e+02
7.500000e-07	-5.677936e-06	-1.035439e-09	-3.074836e+01	-2.710951e+02
7.600000e-07	-5.641435e-06	-1.034425e-09	-3.055069e+01	-2.703487e+02
7.700000e-07	-5.604505e-06	-1.030605e-09	-3.035070e+01	-2.695844e+02
7.800000e-07	-5.567157e-06	-1.025954e-09	-3.014845e+01	-2.688013e+02
7.900000e-07	-5.529459e-06	-1.020091e-09	-2.994429e+01	-2.679984e+02
8.000000e-07	-5.491291e-06	-1.015877e-09	-2.973760e+01	-2.671749e+02
8.100000e-07	-5.452629e-06	-1.014475e-09	-2.952823e+01	-2.663300e+02
8.200000e-07	-5.413571e-06	-1.011644e-09	-2.931671e+01	-2.654629e+02
8.300000e-07	-5.374215e-06	-1.006245e-09	-2.910358e+01	-2.645731e+02
8.400000e-07	-5.334567e-06	-1.000461e-09	-2.888887e+01	-2.636601e+02
8.500000e-07	-5.294704e-06	-9.966187e-10	-2.867300e+01	-2.627234e+02
8.600000e-07	-5.254657e-06	-9.935040e-10	-2.845613e+01	-2.617628e+02
8.700000e-07	-5.214143e-06	-9.889290e-10	-2.823673e+01	-2.607780e+02
8.800000e-07	-5.173269e-06	-9.831554e-10	-2.801538e+01	-2.597690e+02
8.900000e-07	-5.131992e-06	-9.779112e-10	-2.779184e+01	-2.587357e+02
9.000000e-07	-5.089983e-06	-9.734796e-10	-2.756435e+01	-2.576782e+02
9.100000e-07	-5.047216e-06	-9.692928e-10	-2.733275e+01	-2.565967e+02
9.200000e-07	-5.004008e-06	-9.638481e-10	-2.709876e+01	-2.554915e+02
9.300000e-07	-4.960472e-06	-9.580228e-10	-2.686299e+01	-2.543627e+02
9.400000e-07	-4.916637e-06	-9.527113e-10	-2.662561e+01	-2.532107e+02
9.500000e-07	-4.872649e-06	-9.483356e-10	-2.638739e+01	-2.520359e+02
9.600000e-07	-4.828440e-06	-9.433240e-10	-2.614798e+01	-2.508387e+02
9.700000e-07	-4.783805e-06	-9.366121e-10	-2.590627e+01	-2.496193e+02
9.800000e-07	-4.738727e-06	-9.295772e-10	-2.566215e+01	-2.483783e+02
9.900000e-07	-4.693339e-06	-9.247455e-10	-2.541636e+01	-2.471159e+02
1.000000e-06	-4.647618e-06	-9.207789e-10	-2.516876e+01	-2.458324e+02
1.010000e-06	-4.601530e-06	-9.159732e-10	-2.491918e+01	-2.445281e+02
1.020000e-06	-4.555099e-06	-9.098073e-10	-2.466773e+01	-2.432032e+02
1.030000e-06	-4.508398e-06	-9.029053e-10	-2.441483e+01	-2.418578e+02
1.040000e-06	-4.461503e-06	-8.976723e-10	-2.416087e+01	-2.404921e+02
1.050000e-06	-4.414261e-06	-8.927637e-10	-2.390504e+01	-2.391060e+02
1.060000e-06	-4.366666e-06	-8.861400e-10	-2.364729e+01	-2.376994e+02
1.070000e-06	-4.318927e-06	-8.792465e-10	-2.338876e+01	-2.362723e+02
1.080000e-06	-4.271006e-06	-8.723546e-10	-2.312925e+01	-2.348243e+02
