# Temperatura_=_10.7
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_136107.6903012452

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.130717e-06	-1.544748e-09	-3.843330e+01	-3.897312e+02
1.000000e-08	-7.131036e-06	-1.544312e-09	-3.843502e+01	-3.897036e+02
2.000000e-08	-7.131023e-06	-1.543054e-09	-3.843495e+01	-3.896591e+02
3.000000e-08	-7.130591e-06	-1.541093e-09	-3.843262e+01	-3.895989e+02
4.000000e-08	-7.129533e-06	-1.539905e-09	-3.842692e+01	-3.895241e+02
5.000000e-08	-7.127669e-06	-1.539442e-09	-3.841687e+01	-3.894361e+02
6.000000e-08	-7.124999e-06	-1.538505e-09	-3.840248e+01	-3.893363e+02
7.000000e-08	-7.121763e-06	-1.537303e-09	-3.838504e+01	-3.892261e+02
8.000000e-08	-7.118158e-06	-1.540365e-09	-3.836561e+01	-3.891067e+02
9.000000e-08	-7.114169e-06	-1.539611e-09	-3.834411e+01	-3.889795e+02
1.000000e-07	-7.109366e-06	-1.514663e-09	-3.831822e+01	-3.888457e+02
1.100000e-07	-7.103665e-06	-1.492181e-09	-3.828750e+01	-3.887066e+02
1.200000e-07	-7.097661e-06	-1.538326e-09	-3.825514e+01	-3.885632e+02
1.300000e-07	-7.091610e-06	-1.576899e-09	-3.822252e+01	-3.884165e+02
1.400000e-07	-7.085161e-06	-1.526501e-09	-3.818776e+01	-3.882672e+02
1.500000e-07	-7.078121e-06	-1.475926e-09	-3.814982e+01	-3.881160e+02
1.600000e-07	-7.070598e-06	-1.532662e-09	-3.810927e+01	-3.879634e+02
1.700000e-07	-7.062779e-06	-1.585775e-09	-3.806713e+01	-3.878096e+02
1.800000e-07	-7.054477e-06	-1.499106e-09	-3.802238e+01	-3.876550e+02
1.900000e-07	-7.045458e-06	-1.443620e-09	-3.797377e+01	-3.874993e+02
2.000000e-07	-7.035595e-06	-1.538187e-09	-3.792061e+01	-3.873423e+02
2.100000e-07	-7.025166e-06	-1.596111e-09	-3.786440e+01	-3.871837e+02
2.200000e-07	-7.014338e-06	-1.495817e-09	-3.780604e+01	-3.870229e+02
2.300000e-07	-7.002908e-06	-1.448563e-09	-3.774443e+01	-3.868591e+02
2.400000e-07	-6.990925e-06	-1.533261e-09	-3.767985e+01	-3.866916e+02
2.500000e-07	-6.978465e-06	-1.550020e-09	-3.761269e+01	-3.865193e+02
2.600000e-07	-6.965462e-06	-1.469572e-09	-3.754260e+01	-3.863411e+02
2.700000e-07	-6.951792e-06	-1.481001e-09	-3.746893e+01	-3.861560e+02
2.800000e-07	-6.937451e-06	-1.545657e-09	-3.739163e+01	-3.859626e+02
2.900000e-07	-6.922417e-06	-1.508101e-09	-3.731060e+01	-3.857598e+02
3.000000e-07	-6.906659e-06	-1.468580e-09	-3.722567e+01	-3.855463e+02
3.100000e-07	-6.890185e-06	-1.514760e-09	-3.713688e+01	-3.853208e+02
3.200000e-07	-6.873397e-06	-1.513173e-09	-3.704639e+01	-3.850821e+02
3.300000e-07	-6.856209e-06	-1.450674e-09	-3.695375e+01	-3.848291e+02
3.400000e-07	-6.838570e-06	-1.490161e-09	-3.685868e+01	-3.845606e+02
3.500000e-07	-6.820541e-06	-1.548742e-09	-3.676151e+01	-3.842755e+02
3.600000e-07	-6.801943e-06	-1.482812e-09	-3.666126e+01	-3.839731e+02
3.700000e-07	-6.782788e-06	-1.437916e-09	-3.655803e+01	-3.836524e+02
3.800000e-07	-6.763245e-06	-1.508265e-09	-3.645269e+01	-3.833128e+02
3.900000e-07	-6.743500e-06	-1.515113e-09	-3.634627e+01	-3.829538e+02
4.000000e-07	-6.723377e-06	-1.444145e-09	-3.623781e+01	-3.825747e+02
4.100000e-07	-6.702672e-06	-1.462540e-09	-3.612621e+01	-3.821755e+02
4.200000e-07	-6.681451e-06	-1.509245e-09	-3.601184e+01	-3.817557e+02
4.300000e-07	-6.659689e-06	-1.467315e-09	-3.589454e+01	-3.813155e+02
4.400000e-07	-6.637478e-06	-1.448906e-09	-3.577483e+01	-3.808547e+02
4.500000e-07	-6.614889e-06	-1.488439e-09	-3.565308e+01	-3.803737e+02
4.600000e-07	-6.591763e-06	-1.469260e-09	-3.552843e+01	-3.798724e+02
4.700000e-07	-6.568131e-06	-1.435264e-09	-3.540106e+01	-3.793514e+02
4.800000e-07	-6.544292e-06	-1.471884e-09	-3.527257e+01	-3.788109e+02
4.900000e-07	-6.520219e-06	-1.482283e-09	-3.514283e+01	-3.782513e+02
5.000000e-07	-6.495586e-06	-1.434741e-09	-3.501006e+01	-3.776732e+02
5.100000e-07	-6.470121e-06	-1.435946e-09	-3.487280e+01	-3.770770e+02
5.200000e-07	-6.443905e-06	-1.465384e-09	-3.473150e+01	-3.764631e+02
5.300000e-07	-6.417150e-06	-1.442973e-09	-3.458730e+01	-3.758321e+02
5.400000e-07	-6.389836e-06	-1.425494e-09	-3.444009e+01	-3.751844e+02
5.500000e-07	-6.362099e-06	-1.447910e-09	-3.429058e+01	-3.745204e+02
5.600000e-07	-6.334048e-06	-1.443712e-09	-3.413940e+01	-3.738406e+02
5.700000e-07	-6.305618e-06	-1.420775e-09	-3.398616e+01	-3.731453e+02
5.800000e-07	-6.276725e-06	-1.427836e-09	-3.383044e+01	-3.724347e+02
5.900000e-07	-6.247466e-06	-1.432752e-09	-3.367273e+01	-3.717092e+02
6.000000e-07	-6.217794e-06	-1.413411e-09	-3.351281e+01	-3.709690e+02
6.100000e-07	-6.187693e-06	-1.410124e-09	-3.335057e+01	-3.702141e+02
6.200000e-07	-6.157234e-06	-1.421237e-09	-3.318640e+01	-3.694447e+02
6.300000e-07	-6.126355e-06	-1.413333e-09	-3.301997e+01	-3.686609e+02
6.400000e-07	-6.095049e-06	-1.400191e-09	-3.285124e+01	-3.678626e+02
6.500000e-07	-6.063422e-06	-1.402501e-09	-3.268077e+01	-3.670498e+02
6.600000e-07	-6.031458e-06	-1.400502e-09	-3.250849e+01	-3.662224e+02
6.700000e-07	-5.999079e-06	-1.390454e-09	-3.233397e+01	-3.653803e+02
6.800000e-07	-5.966171e-06	-1.389618e-09	-3.215660e+01	-3.645235e+02
6.900000e-07	-5.932595e-06	-1.391300e-09	-3.197563e+01	-3.636518e+02
7.000000e-07	-5.898244e-06	-1.381050e-09	-3.179049e+01	-3.627650e+02
7.100000e-07	-5.863244e-06	-1.373127e-09	-3.160184e+01	-3.618631e+02
7.200000e-07	-5.827909e-06	-1.374145e-09	-3.141139e+01	-3.609458e+02
7.300000e-07	-5.792288e-06	-1.369730e-09	-3.121940e+01	-3.600132e+02
7.400000e-07	-5.756337e-06	-1.360268e-09	-3.102564e+01	-3.590650e+02
7.500000e-07	-5.720141e-06	-1.357270e-09	-3.083054e+01	-3.581012e+02
7.600000e-07	-5.683664e-06	-1.355997e-09	-3.063394e+01	-3.571217e+02
7.700000e-07	-5.646653e-06	-1.351074e-09	-3.043446e+01	-3.561263e+02
7.800000e-07	-5.609198e-06	-1.345753e-09	-3.023258e+01	-3.551152e+02
7.900000e-07	-5.571437e-06	-1.339175e-09	-3.002906e+01	-3.540881e+02
8.000000e-07	-5.533250e-06	-1.330801e-09	-2.982324e+01	-3.530451e+02
8.100000e-07	-5.494580e-06	-1.326086e-09	-2.961481e+01	-3.519860e+02
8.200000e-07	-5.455439e-06	-1.323613e-09	-2.940385e+01	-3.509109e+02
8.300000e-07	-5.416038e-06	-1.318442e-09	-2.919148e+01	-3.498195e+02
8.400000e-07	-5.376492e-06	-1.312752e-09	-2.897834e+01	-3.487119e+02
8.500000e-07	-5.336623e-06	-1.307820e-09	-2.876345e+01	-3.475878e+02
8.600000e-07	-5.296306e-06	-1.303578e-09	-2.854615e+01	-3.464471e+02
8.700000e-07	-5.255484e-06	-1.298876e-09	-2.832613e+01	-3.452895e+02
8.800000e-07	-5.214237e-06	-1.292873e-09	-2.810381e+01	-3.441148e+02
8.900000e-07	-5.172589e-06	-1.286497e-09	-2.787934e+01	-3.429225e+02
9.000000e-07	-5.130374e-06	-1.281908e-09	-2.765181e+01	-3.417124e+02
9.100000e-07	-5.087497e-06	-1.277484e-09	-2.742071e+01	-3.404840e+02
9.200000e-07	-5.044159e-06	-1.272872e-09	-2.718712e+01	-3.392367e+02
9.300000e-07	-5.000553e-06	-1.266878e-09	-2.695210e+01	-3.379701e+02
9.400000e-07	-4.956643e-06	-1.260077e-09	-2.671543e+01	-3.366833e+02
9.500000e-07	-4.912457e-06	-1.254345e-09	-2.647727e+01	-3.353759e+02
9.600000e-07	-4.868065e-06	-1.249080e-09	-2.623801e+01	-3.340470e+02
9.700000e-07	-4.823357e-06	-1.243672e-09	-2.599704e+01	-3.326958e+02
9.800000e-07	-4.778317e-06	-1.238087e-09	-2.575428e+01	-3.313217e+02
9.900000e-07	-4.732989e-06	-1.231768e-09	-2.550997e+01	-3.299237e+02
1.000000e-06	-4.687221e-06	-1.225494e-09	-2.526329e+01	-3.285010e+02
1.010000e-06	-4.641120e-06	-1.219154e-09	-2.501482e+01	-3.270528e+02
1.020000e-06	-4.594788e-06	-1.212935e-09	-2.476509e+01	-3.255783e+02
1.030000e-06	-4.548106e-06	-1.206099e-09	-2.451349e+01	-3.240766e+02
1.040000e-06	-4.501049e-06	-1.199315e-09	-2.425986e+01	-3.225470e+02
1.050000e-06	-4.453674e-06	-1.193491e-09	-2.400451e+01	-3.209888e+02
1.060000e-06	-4.406112e-06	-1.187530e-09	-2.374816e+01	-3.194013e+02
1.070000e-06	-4.358220e-06	-1.180563e-09	-2.349003e+01	-3.177839e+02
1.080000e-06	-4.309977e-06	-1.172669e-09	-2.323001e+01	-3.161360e+02
