t	CH1	CH2
0.000000e+00	-7.472795e-04	-3.975757e+00
1.000000e-08	6.032677e-04	-3.999960e+00
2.000000e-08	2.009693e-05	-4.020020e+00
3.000000e-08	-7.088848e-04	-3.986220e+00
4.000000e-08	-7.986781e-04	-4.068649e+00
5.000000e-08	-3.216069e-04	-4.134293e+00
6.000000e-08	-2.792229e-04	-4.155316e+00
7.000000e-08	-4.016580e-04	-4.179998e+00
8.000000e-08	-8.002232e-04	-4.241784e+00
9.000000e-08	-2.874454e-04	-4.282450e+00
1.000000e-07	-4.451151e-05	-4.292869e+00
1.100000e-07	-8.243881e-04	-4.334897e+00
1.200000e-07	-1.340264e-03	-4.371520e+00
1.300000e-07	-3.248241e-04	-4.399780e+00
1.400000e-07	-1.585952e-04	-4.399980e+00
1.500000e-07	-3.577544e-04	-4.442028e+00
1.600000e-07	-4.492732e-04	-4.464635e+00
1.700000e-07	-5.861311e-04	-4.488871e+00
1.800000e-07	-9.924337e-04	-4.533491e+00
1.900000e-07	-1.673773e-04	-4.529338e+00
2.000000e-07	-3.221573e-04	-4.608120e+00
2.100000e-07	-2.397320e-04	-4.644830e+00
2.200000e-07	-3.728642e-05	-4.708067e+00
2.300000e-07	-8.155615e-04	-4.723049e+00
2.400000e-07	-6.113568e-04	-4.696539e+00
2.500000e-07	-8.719422e-04	-4.757542e+00
2.600000e-07	-9.795521e-04	-4.840204e+00
2.700000e-07	-7.480355e-04	-4.804426e+00
2.800000e-07	-2.068722e-04	-4.946385e+00
2.900000e-07	-2.435450e-04	-4.806714e+00
3.000000e-07	-5.140415e-04	-4.974899e+00
3.100000e-07	-1.138343e-03	-4.959978e+00
3.200000e-07	-1.083731e-03	-5.141760e+00
3.300000e-07	-5.209776e-04	-5.023426e+00
3.400000e-07	-1.045030e-04	-5.042247e+00
3.500000e-07	-6.871746e-04	-5.108875e+00
3.600000e-07	-7.246445e-04	-5.150892e+00
3.700000e-07	-1.041058e-03	-5.155354e+00
3.800000e-07	-8.934114e-04	-5.157336e+00
3.900000e-07	-9.845225e-04	-5.239759e+00
4.000000e-07	-9.397606e-04	-5.244048e+00
4.100000e-07	-7.367808e-04	-5.322811e+00
4.200000e-07	-5.026674e-04	-5.265073e+00
4.300000e-07	-2.276893e-04	-5.252656e+00
4.400000e-07	-6.645983e-04	-5.395517e+00
4.500000e-07	-1.277683e-03	-5.485545e+00
4.600000e-07	-1.097032e-03	-5.488855e+00
4.700000e-07	-7.452204e-04	-5.492668e+00
4.800000e-07	-8.083069e-04	-5.531055e+00
4.900000e-07	-1.384552e-04	-5.517140e+00
5.000000e-07	-6.434829e-04	-5.577977e+00
5.100000e-07	-1.082064e-03	-5.581958e+00
5.200000e-07	-1.061333e-03	-5.599798e+00
5.300000e-07	-1.232330e-03	-5.620006e+00
5.400000e-07	-9.784170e-04	-5.642400e+00
5.500000e-07	-7.367538e-04	-5.622430e+00
5.600000e-07	-7.498961e-04	-5.664565e+00
5.700000e-07	-8.225801e-04	-5.684431e+00
5.800000e-07	-9.678255e-04	-5.646471e+00
5.900000e-07	-1.449817e-03	-5.674687e+00
6.000000e-07	-1.067497e-03	-5.758917e+00
6.100000e-07	-1.118069e-03	-5.735520e+00
6.200000e-07	-1.059416e-03	-5.769334e+00
6.300000e-07	-9.478936e-04	-5.737552e+00
6.400000e-07	-1.240167e-03	-5.801982e+00
6.500000e-07	-1.204431e-03	-5.822224e+00
6.600000e-07	-1.252610e-03	-5.724205e+00
6.700000e-07	-1.335488e-03	-5.844604e+00
6.800000e-07	-1.617076e-03	-5.862227e+00
6.900000e-07	-1.412859e-03	-5.886435e+00
7.000000e-07	-1.158600e-03	-5.868690e+00
7.100000e-07	-1.359552e-03	-5.907039e+00
7.200000e-07	-1.326962e-03	-5.944871e+00
7.300000e-07	-1.122949e-03	-5.937296e+00
7.400000e-07	-1.390928e-03	-5.929757e+00
7.500000e-07	-1.376101e-03	-5.955338e+00
7.600000e-07	-1.481357e-03	-5.991518e+00
7.700000e-07	-1.387506e-03	-5.959320e+00
7.800000e-07	-1.659593e-03	-5.975760e+00
7.900000e-07	-1.417575e-03	-5.995780e+00
8.000000e-07	-1.431114e-03	-5.979802e+00
8.100000e-07	-1.332654e-03	-6.002365e+00
8.200000e-07	-1.724716e-03	-5.997824e+00
8.300000e-07	-1.606219e-03	-6.021980e+00
8.400000e-07	-1.525286e-03	-6.000000e+00
8.500000e-07	-1.760888e-03	-6.042183e+00
8.600000e-07	-1.673050e-03	-5.980020e+00
8.700000e-07	-1.684018e-03	-6.000422e+00
8.800000e-07	-1.842250e-03	-6.002407e+00
8.900000e-07	-1.768010e-03	-6.002406e+00
9.000000e-07	-1.538835e-03	-6.044425e+00
9.100000e-07	-1.522404e-03	-6.024207e+00
9.200000e-07	-1.783934e-03	-6.004228e+00
9.300000e-07	-1.929720e-03	-6.045626e+00
9.400000e-07	-2.053174e-03	-6.062431e+00
9.500000e-07	-2.048605e-03	-6.042469e+00
9.600000e-07	-2.138926e-03	-6.026627e+00
9.700000e-07	-2.202695e-03	-6.064287e+00
9.800000e-07	-2.051655e-03	-6.024225e+00
9.900000e-07	-1.811086e-03	-6.007069e+00
1.000000e-06	-2.299814e-03	-6.028611e+00
1.010000e-06	-2.445501e-03	-6.046445e+00
1.020000e-06	-2.141030e-03	-6.024247e+00
1.030000e-06	-1.981997e-03	-6.060641e+00
1.040000e-06	-2.215911e-03	-6.066661e+00
1.050000e-06	-2.399358e-03	-6.086611e+00
1.060000e-06	-2.551216e-03	-6.044447e+00
1.070000e-06	-2.391423e-03	-6.026431e+00
1.080000e-06	-2.239592e-03	-6.042605e+00
1.090000e-06	-2.311288e-03	-6.060623e+00
1.100000e-06	-2.231530e-03	-6.004007e+00
1.110000e-06	-2.397858e-03	-6.026003e+00
1.120000e-06	-2.334957e-03	-6.004225e+00
1.130000e-06	-2.152145e-03	-6.040866e+00
1.140000e-06	-2.464018e-03	-6.064381e+00
1.150000e-06	-2.655749e-03	-6.002003e+00
1.160000e-06	-2.338948e-03	-6.020402e+00
1.170000e-06	-1.911753e-03	-6.060202e+00
1.180000e-06	-1.895848e-03	-5.982000e+00
1.190000e-06	-2.328169e-03	-5.998024e+00
1.200000e-06	-2.879527e-03	-6.000200e+00
1.210000e-06	-2.815030e-03	-6.019980e+00
1.220000e-06	-1.990958e-03	-6.001742e+00
1.230000e-06	-1.906392e-03	-5.997980e+00
1.240000e-06	-2.471677e-03	-5.957578e+00
1.250000e-06	-2.635813e-03	-5.979356e+00
1.260000e-06	-2.220549e-03	-5.937538e+00
1.270000e-06	-2.062845e-03	-5.937536e+00
1.280000e-06	-2.454943e-03	-5.993511e+00
1.290000e-06	-2.310320e-03	-5.950897e+00
1.300000e-06	-2.469313e-03	-5.913252e+00
1.310000e-06	-2.285971e-03	-5.955051e+00
1.320000e-06	-1.885256e-03	-5.870433e+00
1.330000e-06	-2.195653e-03	-5.887033e+00
1.340000e-06	-2.598958e-03	-5.866427e+00
1.350000e-06	-2.308380e-03	-5.886649e+00
1.360000e-06	-2.148997e-03	-5.880223e+00
1.370000e-06	-1.845085e-03	-5.838183e+00
1.380000e-06	-1.869100e-03	-5.823586e+00
1.390000e-06	-2.281006e-03	-5.779960e+00
1.400000e-06	-2.179553e-03	-5.775383e+00
1.410000e-06	-1.971395e-03	-5.771134e+00
1.420000e-06	-1.777879e-03	-5.754911e+00
1.430000e-06	-1.851615e-03	-5.706892e+00
1.440000e-06	-2.104274e-03	-5.647291e+00
1.450000e-06	-2.024911e-03	-5.666448e+00
1.460000e-06	-1.697752e-03	-5.662267e+00
1.470000e-06	-1.689781e-03	-5.642807e+00
1.480000e-06	-1.675479e-03	-5.560220e+00
1.490000e-06	-1.697458e-03	-5.601985e+00
1.500000e-06	-1.775245e-03	-5.634200e+00
1.510000e-06	-1.432715e-03	-5.579782e+00
1.520000e-06	-1.279930e-03	-5.557978e+00
1.530000e-06	-1.752178e-03	-5.531332e+00
1.540000e-06	-1.823136e-03	-5.477516e+00
1.550000e-06	-1.279846e-03	-5.466685e+00
1.560000e-06	-1.142233e-03	-5.462867e+00
1.570000e-06	-1.584021e-03	-5.458787e+00
1.580000e-06	-1.501335e-03	-5.319385e+00
1.590000e-06	-1.348730e-03	-5.375398e+00
1.600000e-06	-1.353651e-03	-5.295432e+00
1.610000e-06	-1.370155e-03	-5.272643e+00
1.620000e-06	-1.493140e-03	-5.224445e+00
1.630000e-06	-1.352343e-03	-5.204263e+00
1.640000e-06	-1.527988e-03	-5.177543e+00
1.650000e-06	-1.357421e-03	-5.115552e+00
1.660000e-06	-1.253214e-03	-5.173494e+00
1.670000e-06	-1.245941e-03	-5.113270e+00
1.680000e-06	-1.155712e-03	-5.108691e+00
1.690000e-06	-1.349252e-03	-5.028445e+00
1.700000e-06	-1.093157e-03	-5.022225e+00
1.710000e-06	-9.410189e-04	-4.959982e+00
1.720000e-06	-1.331443e-03	-4.995760e+00
1.730000e-06	-1.013404e-03	-4.951352e+00
1.740000e-06	-9.923234e-04	-4.926554e+00
1.750000e-06	-1.060579e-03	-4.840605e+00
1.760000e-06	-9.961740e-04	-4.824145e+00
1.770000e-06	-9.384298e-04	-4.770772e+00
1.780000e-06	-8.887586e-04	-4.689700e+00
1.790000e-06	-1.114729e-03	-4.686607e+00
1.800000e-06	-7.697606e-04	-4.644867e+00
1.810000e-06	-5.694681e-04	-4.626067e+00
1.820000e-06	-8.265771e-04	-4.642800e+00
1.830000e-06	-9.048134e-04	-4.559896e+00
1.840000e-06	-8.065192e-04	-4.553534e+00
1.850000e-06	-4.284187e-04	-4.514854e+00
1.860000e-06	-6.233520e-04	-4.490447e+00
1.870000e-06	-8.632648e-04	-4.428443e+00
1.880000e-06	-7.040839e-04	-4.424023e+00
1.890000e-06	-7.511256e-04	-4.420020e+00
1.900000e-06	-4.639149e-04	-4.397778e+00
1.910000e-06	-6.709086e-04	-4.355958e+00
1.920000e-06	-8.701429e-04	-4.353512e+00
1.930000e-06	-6.837789e-04	-4.289271e+00
1.940000e-06	-2.245991e-04	-4.208465e+00
1.950000e-06	-5.102726e-04	-4.201981e+00
1.960000e-06	-7.804229e-04	-4.197759e+00
1.970000e-06	-7.910372e-04	-4.139114e+00
1.980000e-06	-5.271814e-04	-4.109136e+00
1.990000e-06	-6.177993e-04	-4.108861e+00
2.000000e-06	-6.309957e-04	-4.002223e+00
2.010000e-06	-9.745349e-04	-3.982022e+00
2.020000e-06	-5.907629e-04	-3.961776e+00
2.030000e-06	-7.808510e-04	-3.977958e+00
2.040000e-06	-8.121512e-04	-3.957251e+00
2.050000e-06	-2.581645e-04	-3.886467e+00
2.060000e-06	-6.268683e-04	-3.780347e+00
2.070000e-06	-5.835411e-04	-3.737492e+00
2.080000e-06	-7.455062e-04	-3.666272e+00
2.090000e-06	-4.584205e-04	-3.642048e+00
2.100000e-06	-2.996515e-04	-3.622200e+00
2.110000e-06	-3.590764e-04	-3.599778e+00
2.120000e-06	-5.844182e-04	-3.575736e+00
2.130000e-06	-2.909237e-04	-3.515069e+00
2.140000e-06	-3.348783e-04	-3.466667e+00
2.150000e-06	-1.995754e-04	-3.410626e+00
2.160000e-06	-2.278847e-04	-3.340803e+00
2.170000e-06	-3.378198e-04	-3.393748e+00
2.180000e-06	-2.933923e-04	-3.277868e+00
2.190000e-06	5.526565e-05	-3.245061e+00
2.200000e-06	-3.484542e-04	-3.222240e+00
2.210000e-06	-2.569090e-04	-3.201798e+00
2.220000e-06	-3.440797e-04	-3.159776e+00
2.230000e-06	-2.897923e-04	-3.133668e+00
2.240000e-06	-4.660735e-05	-2.950427e+00
2.250000e-06	1.704402e-04	-2.959335e+00
2.260000e-06	-4.190674e-04	-2.867294e+00
2.270000e-06	-1.315568e-05	-2.858485e+00
2.280000e-06	-4.829628e-04	-2.824085e+00
